"hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","distribution_channel","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type","agent","company","days_in_waiting_list","customer_type","adr","required_car_parking_spaces","total_of_special_requests","reservation_status","reservation_status_date"
"Resort Hotel",0,2,2016,"December",49,2,0,1,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","330","NULL",0,"Transient",30,0,1,"Check-Out","2016-12-03"
"City Hotel",1,77,2016,"June",25,16,0,3,1,0,0,"SC","NOR","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",125.1,0,0,"Canceled","2016-04-23"
"Resort Hotel",0,3,2015,"December",50,12,0,1,3,1,0,"HB","PRT","Online TA","TA/TO",0,0,0,"H","H",1,"No Deposit","240","NULL",0,"Transient",154,0,0,"Check-Out","2015-12-13"
"Resort Hotel",0,36,2016,"September",36,1,0,3,2,0,0,"BB","ITA","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit","240","NULL",0,"Transient",189,0,0,"Check-Out","2016-09-04"
"Resort Hotel",0,53,2016,"December",51,12,1,0,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"A","D",1,"No Deposit","250","NULL",0,"Transient",43.2,0,1,"Check-Out","2016-12-13"
"Resort Hotel",1,57,2016,"March",12,19,1,1,3,1,0,"BB","PRT","Complementary","Direct",0,0,0,"C","G",0,"No Deposit","NULL","NULL",0,"Transient",20,0,0,"Canceled","2016-03-14"
"City Hotel",0,45,2016,"October",44,26,0,2,2,0,0,"SC","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",119.5,0,0,"Check-Out","2016-10-28"
"City Hotel",1,155,2016,"July",28,7,0,3,2,0,0,"SC","DEU","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",103.5,0,0,"Canceled","2016-02-05"
"City Hotel",1,201,2017,"June",24,14,0,4,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","NULL","NULL",0,"Transient",110,0,0,"Canceled","2016-11-25"
"City Hotel",0,0,2016,"October",42,13,1,3,2,0,0,"BB","USA","Direct","Direct",0,0,0,"F","F",0,"No Deposit","14","NULL",0,"Transient",12,0,0,"Check-Out","2016-10-17"
"City Hotel",1,26,2017,"April",17,29,1,1,2,0,0,"SC","CHN","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",103.5,0,1,"Canceled","2017-04-21"
"City Hotel",0,101,2016,"April",18,26,0,1,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","35","NULL",0,"Transient-Party",98,0,0,"Check-Out","2016-04-27"
"Resort Hotel",0,0,2017,"July",27,5,0,1,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"E","E",0,"No Deposit","NULL","NULL",0,"Transient",123,0,0,"Check-Out","2017-07-06"
"City Hotel",1,106,2017,"March",10,6,1,1,2,0,0,"BB","GRC","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",97.2,0,1,"Canceled","2016-12-14"
"City Hotel",1,24,2015,"December",49,5,2,1,2,0,0,"BB","PRT","Corporate","Corporate",0,1,0,"A","A",0,"No Deposit","NULL","143",0,"Transient-Party",59.78,0,0,"Canceled","2015-12-03"
"City Hotel",1,55,2016,"April",15,8,0,1,3,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient",137.7,0,0,"Canceled","2016-02-20"
"City Hotel",0,169,2017,"April",16,17,1,3,3,0,0,"BB","DEU","Direct","Direct",0,0,0,"D","D",0,"No Deposit","14","NULL",0,"Transient",151.5,0,0,"Check-Out","2017-04-21"
"City Hotel",0,22,2015,"December",52,26,2,2,2,1,0,"HB","ESP","Offline TA/TO","TA/TO",0,0,0,"F","F",1,"No Deposit","28","NULL",0,"Transient",134.78,0,0,"Check-Out","2015-12-30"
"City Hotel",1,226,2017,"July",28,9,2,1,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","NULL","NULL",0,"Transient",110,0,0,"Canceled","2016-11-25"
"City Hotel",1,11,2017,"May",22,28,2,0,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",2,"No Deposit","9","NULL",0,"Transient",170,0,1,"Canceled","2017-05-19"
"City Hotel",0,36,2016,"September",40,28,0,3,2,0,0,"BB","DEU","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","21","NULL",0,"Transient-Party",43.5,0,0,"Check-Out","2016-10-01"
