"hotel","is_canceled","lead_time","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","days_in_waiting_list","customer_type","adr","reservation_status"
"Resort Hotel",0,2,"December",49,2,0,1,1,0,0,"BB","PRT",0,"Transient",30,"Check-Out"
"City Hotel",1,109,"June",25,16,0,3,1,0,0,"SC","NOR",0,"Transient",125.1,"Canceled"
"Resort Hotel",0,3,"December",50,12,0,1,3,1,0,"HB","PRT",0,"Transient",154,"Check-Out"
"Resort Hotel",0,36,"September",36,1,0,3,2,0,0,"BB","ITA",0,"Transient",189,"Check-Out"
"Resort Hotel",0,53,"December",51,12,1,0,2,0,0,"Unknown","PRT",0,"Transient",43.2,"Check-Out"
"Resort Hotel",1,57,"March",12,19,1,1,3,1,0,"BB","PRT",0,"Transient",20,"Canceled"
"City Hotel",0,45,"October",44,26,0,2,2,0,0,"SC","Unknown",0,"Transient",119.5,"Check-Out"
"City Hotel",1,155,"July",28,7,0,3,2,0,0,"SC","DEU",0,"Transient",103.5,"Canceled"
"City Hotel",1,201,"June",24,14,0,4,2,0,0,"BB","Unknown",0,"Transient",110,"Canceled"
"City Hotel",0,0,"October",42,13,1,3,2,0,0,"BB","USA",0,"Transient",12,"Check-Out"
"City Hotel",1,26,"April",17,29,1,1,2,0,0,"SC","CHN",0,"Transient",103.5,"Canceled"
"City Hotel",0,101,"April",18,26,0,1,2,0,0,"HB","PRT",0,"Transient-Party",98,"Check-Out"
"Resort Hotel",0,0,"July",27,5,0,1,2,0,0,"BB","PRT",0,"Transient",123,"Check-Out"
"City Hotel",1,106,"March",10,6,1,1,2,0,0,"BB","GRC",0,"Transient",97.2,"Canceled"
"City Hotel",1,24,"December",49,5,2,1,2,0,0,"BB","PRT",0,"Transient-Party",59.78,"Canceled"
"City Hotel",1,55,"April",15,8,0,1,3,0,0,"BB","GBR",0,"Transient",137.7,"Canceled"
"City Hotel",0,169,"April",16,17,1,3,3,0,0,"BB","DEU",0,"Transient",151.5,"Check-Out"
"City Hotel",0,22,"December",52,26,2,2,2,1,0,"HB","ESP",0,"Transient",134.78,"Check-Out"
"City Hotel",1,226,"July",28,9,2,1,2,0,0,"BB","Unknown",0,"Transient",110,"Canceled"
"City Hotel",1,109,"May",22,28,2,0,2,0,0,"Unknown","PRT",0,"Transient",170,"Canceled"
"City Hotel",0,36,"September",40,28,0,3,2,0,0,"Unknown","DEU",0,"Transient-Party",43.5,"Check-Out"
"City Hotel",1,393,"April",16,22,2,1,2,0,0,"BB","PRT",12,"Transient",90,"Canceled"
"City Hotel",0,1,"March",9,2,0,1,1,0,0,"BB","PRT",0,"Transient",88,"Check-Out"
"City Hotel",0,0,"June",24,8,0,1,1,0,0,"BB","PRT",0,"Transient",92.35,"Check-Out"
"Resort Hotel",0,11,"December",49,5,2,1,2,0,0,"Undefined","ESP",0,"Transient-Party",68,"Check-Out"
"Resort Hotel",1,87,"July",30,25,2,4,2,0,0,"BB","PRT",0,"Transient",127.2,"Canceled"
"City Hotel",0,31,"May",20,10,2,5,2,0,0,"BB","GBR",0,"Transient",140.4,"Check-Out"
"City Hotel",1,144,"May",22,27,2,2,2,2,0,"BB","USA",0,"Transient",177.65,"Canceled"
"Resort Hotel",0,7,"July",28,5,0,2,3,0,0,"BB","PRT",0,"Transient",236,"Check-Out"
"City Hotel",1,98,"November",48,23,1,2,1,0,0,"FB","PRT",0,"Transient-Party",84,"Canceled"
"City Hotel",1,348,"June",22,3,2,1,2,0,0,"BB","PRT",0,"Transient",90,"Canceled"
"Resort Hotel",0,60,"July",31,31,1,3,2,0,0,"BB","PRT",0,"Transient",257.75,"Check-Out"
"City Hotel",1,105,"October",42,12,1,2,2,0,0,"HB","PRT",0,"Transient",110,"Canceled"
"Resort Hotel",0,100,"April",18,24,2,2,2,0,0,"BB","GBR",0,"Transient",73,"Check-Out"
"City Hotel",1,16,"November",45,4,0,2,1,0,0,"BB","PRT",0,"Transient",95,"Canceled"
"City Hotel",0,1,"December",50,10,0,1,1,0,0,"BB","PRT",0,"Transient",65,"Check-Out"
"City Hotel",1,75,"May",20,20,2,1,1,0,0,"BB","PRT",0,"Transient-Party",80,"Canceled"
"City Hotel",1,99,"February",8,19,0,1,2,0,0,"BB","Unknown",0,"Transient-Party",80,"Canceled"
"Resort Hotel",0,0,"April",18,28,0,1,2,0,0,"BB","PRT",0,"Transient",50.4,"Check-Out"
"Resort Hotel",0,0,"October",42,11,1,0,2,0,0,"BB","ESP",0,"Transient",66,"Check-Out"
"Resort Hotel",0,30,"May",20,8,2,0,2,0,0,"BB","PRT",0,"Transient",50,"Check-Out"
"Resort Hotel",0,72,"July",29,18,0,4,2,0,0,"HB","ESP",0,"Transient",271,"Check-Out"
"Resort Hotel",0,61,"March",14,27,2,3,2,0,1,"BB","PRT",0,"Transient",56,"Check-Out"
